policy_entropy,time_elapsed,n_updates,ep_reward_mean,fps,explained_variance,serial_timesteps,policy_loss,value_loss,approxkl,total_timesteps,clipfrac,ep_len_mean
0.35724792,1143.881296157837,612,52.251144539999984,1093,0.9670782275497913,1253376,-0.0036416862,0.104583025,0.010813722,1253376,0.13261719,169.8
0.34189844,1145.7558019161224,613,52.251144539999984,1125,0.9760873466730118,1255424,-0.0034280152,0.081856884,0.009655989,1255424,0.121679686,169.8
0.3160439,1147.5753376483917,614,52.251144539999984,1154,0.9817987643182278,1257472,-0.0038223367,0.058428336,0.009401628,1257472,0.11625977,169.8
0.3092473,1149.3578562736511,615,241.91249779999998,1148,0.3541910648345947,1259520,-0.0015804743,4.9022894,0.009106266,1259520,0.097070314,563.68
0.3211367,1151.141432762146,616,236.96104519999997,1116,-0.05081510543823242,1261568,0.0024050367,69.87117,0.011887933,1261568,0.1347168,546.99
0.33388573,1152.9758071899414,617,232.87830002,1091,0.16867804527282715,1263616,-0.0014087057,56.28902,0.011545688,1263616,0.12729493,532.78
0.34396368,1154.8528425693512,618,228.14077421000005,1153,0.36644667387008667,1265664,0.00058488635,46.12768,0.00939511,1265664,0.105371095,517.52
0.35868976,1156.6287989616394,619,223.2612218900001,1132,0.6766065359115601,1267712,-0.004442669,24.798536,0.0113208415,1267712,0.10507812,505.94
0.36929208,1158.438071012497,620,27.12536908,1110,0.674817830324173,1269760,-0.0044247056,25.15939,0.009812774,1269760,0.10092773,97.67
0.3705043,1160.2822382450104,621,29.71702885,1108,0.743445485830307,1271808,-0.006988953,21.746586,0.009565106,1271808,0.09873047,103.8
0.3668263,1162.130176782608,622,33.21519565,1084,0.8386347442865372,1273856,-0.006254407,13.459971,0.009234374,1273856,0.10087891,112.23
0.37318268,1164.0189933776855,623,34.08070025,1123,0.774027481675148,1275904,-0.003964954,16.738861,0.008242665,1275904,0.10039063,115.44
0.37346494,1165.842434167862,624,35.5104993,1145,0.7683936208486557,1277952,-0.0061731776,14.635826,0.008566835,1277952,0.10595703,118.92
0.37408787,1167.6316137313843,625,39.37062337,1136,0.7365434765815735,1280000,-0.007550326,23.840012,0.008103815,1280000,0.09272461,126.28
0.38334078,1169.442577123642,626,40.4975762,1139,0.8489419221878052,1282048,-0.0026692685,8.894902,0.0074230433,1282048,0.08886719,129.45
